obs_id,date,pm25,pm10,o3,no2,so2,env_index,Car_7-9,Van_7-9,Bus_7-9,Minibus_7-9,Truck_7-9,3Cycle_7-9,Car_9-17,Van_9-17,Bus_9-17,Minibus_9-17,Truck_9-17,3Cycle_9-17,Car_17-19,Van_17-19,Bus_17-19,Minibus_17-19,Truck_17-19,3Cycle_17-19,avg_ridership_monthly,avg_ridership_workday_monthly,TCI,tempmax,tempmin,temp,temp_calib,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,rain,windgust,windspeed,windspeedmax,windspeedmean,windspeedmin,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,conditions,weekend,seasons,holiday
1657,7/14/2024,56,26,8,,,0.05909815,,,,,,,,,,,,,,,,,,,,,,33.4,26.5,29.3,29.28982501,40.4,26.5,33.1,23.1,69.9,0,0,0,TRUE,44.6,21.9,21.9,9.1,1.2,229.9,1004.9,65.5,9.8,190.5,16.4,-15.4830992,0.25,Partially cloudy,TRUE,Rainy,
1658,7/15/2024,59,24,6,1,,0.202567666,5538,1969,16,0,257,12,12925,9414,54,0,2310,23,3972,1878,12,0,289,5,,,,31.6,27.1,28.5,28.51570775,40,29.8,33,24.1,77.5,1.964,100,16.67,TRUE,42.8,10.7,10.7,6.3,1.3,259.6,1005.6,59.7,10,112.6,9.6,4,0.3,"Rain, Partially cloudy",FALSE,Rainy,No
1659,7/16/2024,56,24,6,,,0.53961134,3866,1118,6,0,56,16,12494,4246,13,0,332,48,3213,1110,2,0,27,10,,,,31.4,26,28.4,28.38432561,38,26,31.7,23.5,75.2,0.16,100,12.5,,39.2,15.3,15.3,8.6,4.8,276.3,1004.8,68,10,105.6,9.2,5,0.33,"Rain, Partially cloudy",FALSE,,
1660,7/17/2024,50,20,6,,,0.332130876,12383,3363,205,0,201,196,42672,14701,805,0,736,631,11568,3575,205,0,118,152,,,,33.2,26.6,29.8,29.79237601,42,26.6,34.4,23.5,69.4,0.216,100,8.33,TRUE,42.5,12.3,12.3,8.2,2.8,271.4,1004,63.7,10,222,19.2,10,0.334268889,"Rain, Partially cloudy",FALSE,Rainy,No
1661,7/18/2024,50,16,6,,,0.035813144,9443,3801,33,10,183,5,34129,16801,180,45,1438,48,9225,4140,37,18,154,11,,,,31.1,26.2,28.9,28.90438851,37.6,26.2,33.4,24.1,75.4,3.648,100,12.5,TRUE,40.3,10.5,10.5,6,1.4,225.3,1005.5,60.6,10,133,11.5,5,0.4,,FALSE,RainY,
1662,7/19/2024,48,19,7,,,0.824943021,6969,1793,181,76,77,570,23703,9909,756,254,608,2380,6261,2017,168,47,83,505,,,,31.1,26.9,28.6,28.61768236,38.4,30,33.7,24.8,79.9,0.951,100,25,TRUE,46.8,11.8,11.8,5.9,3.1,208.9,1005.9,68.8,9.9,104.2,8.9,5,0.43,"RAin, paRtIALLy CLOUdY",,Rainy,
1663,7/20/2024,50,22,8,,,0.082546103,,,,,,,,,,,,,,,,,,,,,,31.9,27.2,29.3,29.3055017,41.1,30.4,35,25,78.1,1.734,100,25,TRUE,41.8,12.5,12.5,5.8,1.5,209.7,1007.1,69.9,9.8,137.2,11.8,7,,"Rain, Partially cloudy",TRUE,Rainy,Yes
1664,7/21/2024,59,34,8,,,0.761303185,,,,,,,,,,,,,,,,,,,,,,33.5,25.2,29.1,29.0953045,42.5,25.2,34,25.1,80,19.923,100,29.17,TRUE,48.2,11,11,4.8,1,199.7,1007.3,60,9.4,151.6,13.2,7,0.5,"Rain, Partially cloudy",TRUE,Rainy,
1665,7/22/2024,67,33,8,,,0.614677366,,,,,,,,,,,,,,,,,,,,,,32.6,26,28.6,28.60679558,41,26,32.9,25.1,82.3,1.865,100,29.17,TRUE,42.1,12.2,12.2,5.2,0.3,250.1,1007.8,58,9.8,141.5,12.4,6,0.53,"Rain, Partially cloudy",FALSE,Rainy,
1666,7/23/2024,69,17,8,,,0.995317546,8223,2624,312,35,270,148,29463,10484,1104,128,1683,734,7206,2635,228,29,182,104,,,,32.8,26.9,29.1,29.10608691,40.6,30.1,34.1,24.5,76.6,6.064,100,12.5,TRUE,59.4,21.3,21.3,6.7,0.9,221.6,1006.8,53.9,9.5,139,12.1,26.37358593,0.56,"Rain, Partially cloudy",FALSE,Rainy,No
1667,7/24/2024,44,21,9,,,0.420480578,6458,1254,89,1,94,102,22530,5983,401,11,662,383,6337,1649,114,4,80,92,,,,31.9,26.5,28.7,28.69745923,39.2,26.5,32.7,23.7,74.5,0.004,100,4.17,,40.7,15.2,15.2,8.8,1.2,234.1,1004.6,57.4,10,175.3,15.2,8,0.6,"Rain, Partially cloudy",FALSE,Rainy,No
